testName	seed	initInt	finalInt	nCircles	rStart	rEnd	biasType	biasSigma	ampType	ampParam1	ampParam2	growRate	brightStep	ROIspacing	inSmall	inLarge	onBound	outAll	isNegative
ROI‐Spacing	4235	1643.89	46670.6	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	3	4	1	16	0
ROI‐Spacing	4236	1345.15	35056.1	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	3	3	0	17	0
ROI‐Spacing	4237	3.79132	-26872.3	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	2	5	2	15	1
ROI‐Spacing	4238	822.043	4582.38	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	4	6	2	14	0
ROI‐Spacing	4239	-1096.23	-21564.6	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	1	4	2	16	1
ROI‐Spacing	4240	1239.17	-12989.8	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	3	4	1	16	1
ROI‐Spacing	4241	2167.47	20632	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	3	3	0	17	0
ROI‐Spacing	4242	550.151	2729.15	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	4	6	1	14	0
ROI‐Spacing	4243	1561.67	48698.7	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	5	5	0	15	0
ROI‐Spacing	4244	1016.55	21032.5	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	3	4	1	16	0
ROI‐Spacing	4245	-714.788	-15280.4	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	1	4	2	16	1
ROI‐Spacing	4246	1532.36	-9382.01	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	5	5	1	15	1
ROI‐Spacing	4247	1355.4	21193.9	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	4	5	0	15	0
ROI‐Spacing	4248	790.742	7309.11	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	1	2	1	18	0
ROI‐Spacing	4249	1318.52	356.131	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	3	5	2	15	1
ROI‐Spacing	4250	792.125	11602.9	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	4	7	2	13	0
ROI‐Spacing	4251	-124.533	-76.2157	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	2	4	2	16	0
ROI‐Spacing	4252	591.355	23322.8	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	3	7	2	13	0
ROI‐Spacing	4253	2719.3	27378.5	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	7	8	1	12	0
ROI‐Spacing	4254	-689.956	-36662.8	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	1	3	2	17	1
ROI‐Spacing	4255	2436.35	45986	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	6	6	0	14	0
ROI‐Spacing	4256	1770.87	511.343	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	5	6	1	14	1
ROI‐Spacing	4257	-515.583	-6174.67	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	1	4	1	16	1
ROI‐Spacing	4258	-172.101	-39928.9	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	1	2	1	18	1
ROI‐Spacing	4259	372.292	10107.4	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	5	9	1	11	0
ROI‐Spacing	4260	776.462	-8190.32	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	1	1	1	19	1
ROI‐Spacing	4261	2019.9	9608.69	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	7	9	3	11	0
ROI‐Spacing	4262	45.3531	7654.16	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	2	4	2	16	0
ROI‐Spacing	4263	324.783	-34759.6	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	1	4	3	16	1
ROI‐Spacing	4264	2061.3	25872.2	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	8	11	3	9	0
ROI‐Spacing	4265	575.757	-27454.3	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	1	2	1	18	1
ROI‐Spacing	4266	1347.1	-6167.91	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	5	6	1	14	1
ROI‐Spacing	4267	1552.1	6697.37	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	5	7	3	13	0
ROI‐Spacing	4268	2165.78	16395.9	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	3	4	0	16	0
ROI‐Spacing	4269	856.517	30540.5	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	3	3	0	17	0
ROI‐Spacing	4270	-601.579	-16917.1	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	1	4	4	16	1
ROI‐Spacing	4271	1353.2	-5142.55	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	3	4	1	16	1
ROI‐Spacing	4272	938.042	7874.92	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	4	5	2	15	0
ROI‐Spacing	4273	345.05	-5778.69	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	3	6	3	14	1
ROI‐Spacing	4274	880.501	-16746.2	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	5	6	0	14	1
ROI‐Spacing	4275	311.38	5720.9	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	3	6	2	14	0
ROI‐Spacing	4276	1412.99	-7684.88	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	3	3	0	17	1
ROI‐Spacing	4277	-579.615	-11911	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	5	8	2	12	1
ROI‐Spacing	4278	2279.79	43741.2	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	5	5	0	15	0
ROI‐Spacing	4279	1360.07	-31688.8	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	1	2	1	18	1
ROI‐Spacing	4280	227.831	-2660.07	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	3	4	1	16	1
ROI‐Spacing	4281	2735.71	41573.8	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	4	4	1	16	0
ROI‐Spacing	4282	2163.32	8523.83	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	5	5	0	15	0
ROI‐Spacing	4283	901.369	-5746.73	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	2	2	0	18	1
ROI‐Spacing	4284	1020.18	-13484.7	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	1	1	1	19	1
ROI‐Spacing	4285	2059.94	-2056.51	20	5	15	uniform	NaN	uniform	0	10	0.01	0.1	"1.8333,1.8333,1.8333"	3	5	1	15	1
